Year,State,ProducerType,FuelSource,Nameplate_Capacity_(Megawatts),Summer_Capacity_(Megawatts)
2003,AZ,"Electric Generators, Electric Utilities",Pumped Storage,194,216
2003,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,8,7
2003,AZ,"Electric Generators, Independent Power Producers",All Sources,"7,778.00","6,583.00"
2003,AZ,"Electric Generators, Independent Power Producers",Natural Gas,"7,778.00","6,583.00"
2003,AZ,Total Electric Power Industry,All Sources,"26,187.00","23,510.00"
2003,AZ,Total Electric Power Industry,Coal,"5,819.00","5,404.00"
2003,AZ,Total Electric Power Industry,Hydroelectric,"2,705.00","2,706.00"
2003,AZ,Total Electric Power Industry,Natural Gas,"13,014.00","11,152.00"
2003,AZ,Total Electric Power Industry,Nuclear,"4,209.00","3,825.00"
2003,AZ,Total Electric Power Industry,Other Biomass,5,4
2003,AZ,Total Electric Power Industry,Petroleum,232,195
2003,AZ,Total Electric Power Industry,Pumped Storage,194,216
2003,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,8,7
2003,CA,"Combined Heat and Power, Commercial Power",All Sources,413,345
2003,CA,"Combined Heat and Power, Commercial Power",Hydroelectric,7,6
2003,CA,"Combined Heat and Power, Commercial Power",Natural Gas,328,270
2003,CA,"Combined Heat and Power, Commercial Power",Other Biomass,75,65
2003,CA,"Combined Heat and Power, Commercial Power",Petroleum,4,4
2003,CA,"Combined Heat and Power, Electric Power",All Sources,"4,179.00","3,812.00"
2003,CA,"Combined Heat and Power, Electric Power",Coal,360,317
2003,CA,"Combined Heat and Power, Electric Power",Natural Gas,"3,745.00","3,429.00"
2003,CA,"Combined Heat and Power, Electric Power",Other Biomass,42,34
2003,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,31,31
2003,CA,"Combined Heat and Power, Industrial Power",All Sources,"2,795.00","2,422.00"
2003,CA,"Combined Heat and Power, Industrial Power",Coal,79,40
2003,CA,"Combined Heat and Power, Industrial Power",Natural Gas,"2,090.00","1,850.00"
2003,CA,"Combined Heat and Power, Industrial Power",Other,23,17
2003,CA,"Combined Heat and Power, Industrial Power",Other Biomass,6,5
2003,CA,"Combined Heat and Power, Industrial Power",Other Gases,265,219
2003,CA,"Combined Heat and Power, Industrial Power",Petroleum,117,91
2003,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,216,199
2003,CA,"Electric Generators, Electric Utilities",All Sources,"23,696.00","23,223.00"
2003,CA,"Electric Generators, Electric Utilities",Geothermal,220,129
2003,CA,"Electric Generators, Electric Utilities",Hydroelectric,"9,710.00","9,716.00"
2003,CA,"Electric Generators, Electric Utilities",Natural Gas,"5,482.00","5,042.00"
2003,CA,"Electric Generators, Electric Utilities",Nuclear,"4,554.00","4,324.00"
2003,CA,"Electric Generators, Electric Utilities",Other Biomass,13,12
2003,CA,"Electric Generators, Electric Utilities",Petroleum,348,297
2003,CA,"Electric Generators, Electric Utilities",Pumped Storage,"3,353.00","3,688.00"
2003,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,2,2
2003,CA,"Electric Generators, Electric Utilities",Wind,13,13
2003,CA,"Electric Generators, Independent Power Producers",All Sources,"30,977.00","28,050.00"
2003,CA,"Electric Generators, Independent Power Producers",Geothermal,"2,497.00","1,767.00"
2003,CA,"Electric Generators, Independent Power Producers",Hydroelectric,236,226
2003,CA,"Electric Generators, Independent Power Producers",Natural Gas,"24,665.00","22,699.00"
2003,CA,"Electric Generators, Independent Power Producers",Other Biomass,293,252
2003,CA,"Electric Generators, Independent Power Producers",Other Gases,8,6
2003,CA,"Electric Generators, Independent Power Producers",Petroleum,509,432
2003,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,394,388
2003,CA,"Electric Generators, Independent Power Producers",Wind,"1,930.00","1,897.00"
2003,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,445,383
2003,CA,Total Electric Power Industry,All Sources,"62,059.00","57,850.00"
